Time [msec],x [m],y [m],z [m],Red,Green,Blue
0,0,-3,0,255,255,255
250,0,-3,0.0474,255,255,255
500,0,-3,0.2195,255,255,255
750,0,-3,0.5,255,255,255
1000,0,-3,0.8703,255,255,255
1250,0,-3,1.3121,255,255,255
1500,0,-3,1.8086,255,255,255
1750,0,-3,2.3448,255,255,255
2000,0,-3,2.9028,255,255,255
2250,0,-3,3.4646,255,255,255
2500,0,-3,4.0122,255,255,255
2750,0,-3,4.5274,255,255,255
3000,0,-3,4.9924,255,255,255
3250,0,-3,5.3892,255,255,255
3500,0,-3,5.6996,255,255,255
3750,0,-3.0001,5.9016,255,255,255
4000,0,-2.9992,6.0019,255,255,255
4250,0,-2.9949,6.0392,255,255,255
4500,0,-2.9849,6.053,255,255,255
4750,0,-2.967,6.0827,255,255,255
5000,0,-2.9399,6.1491,255,255,255
5250,0,-2.9049,6.2352,255,255,255
5500,0,-2.8622,6.34,255,255,255
5750,0,-2.8121,6.4631,255,255,255
6000,0,-2.7547,6.6041,255,255,255
6250,0,-2.6901,6.7625,255,255,255
6500,0,-2.6187,6.9379,255,255,255
6750,0,-2.5405,7.1299,255,255,255
7000,0,-2.4557,7.338,255,255,255
7250,0,-2.3647,7.5618,255,255,255
7500,0,-2.2674,7.801,255,255,255
7750,0,-2.1642,8.055,255,255,255
8000,0,-2.0551,8.3235,255,255,255
8250,0,-1.9403,8.6059,255,255,255
8500,0,-1.8201,8.9019,255,255,255
8750,0,-1.6946,9.211,255,255,255
9000,0,-1.564,9.5327,255,255,255
9250,0,-1.4284,9.8666,255,255,255
9500,0,-1.288,10.2124,255,255,255
9750,0,-1.1431,10.5695,255,255,255
10000,0,-0.9937,10.9374,255,255,255
10250,0,-0.84,11.3159,255,255,255
10500,0,-0.6823,11.7044,255,255,255
10750,0,-0.5207,12.1024,255,255,255
11000,0,-0.3554,12.5096,255,255,255
11250,0,-0.1865,12.9255,255,255,255
11500,0,-0.0142,13.3497,255,255,255
11750,0,0.1612,13.7817,255,255,255
12000,0,0.3397,14.2211,255,255,255
12250,0,0.521,14.6676,255,255,255
12500,0,0.7051,15.1206,255,255,255
12750,0,0.8916,15.5798,255,255,255
13000,0,1.0805,16.0448,255,255,255
13250,0,1.2715,16.515,255,255,255
13500,0,1.4645,16.9901,255,255,255
13750,0,1.6593,17.4696,255,255,255
14000,0,1.8557,17.9532,255,255,255
14250,0,2.0535,18.4403,255,255,255
14500,0,2.2527,18.9305,255,255,255
14750,0,2.4529,19.4234,255,255,255
15000,0,2.6541,19.9185,255,255,255
15250,0,2.856,20.4155,255,255,255
15500,0,3.0584,20.9139,255,255,255
15750,0,3.2613,21.4132,255,255,255
16000,0,3.4643,21.9131,255,255,255
16250,0,3.6674,22.413,255,255,255
16500,0,3.8704,22.9126,255,255,255
16750,0,4.073,23.4113,255,255,255
17000,0,4.2751,23.9089,255,255,255
17250,0,4.4766,24.4048,255,255,255
17500,0,4.6772,24.8986,255,255,255
17750,0,4.8768,25.39,255,255,255
18000,0,5.0752,25.8783,255,255,255
18250,0,5.2722,26.3633,255,255,255
18500,0,5.4677,26.8444,255,255,255
18750,0,5.6614,27.3212,255,255,255
19000,0,5.8532,27.7934,255,255,255
19250,0,6.043,28.2605,255,255,255
19500,0,6.2305,28.7219,255,255,255
19750,0,6.4155,29.1774,255,255,255
20000,0,6.598,29.6265,255,255,255
20250,0,6.7776,30.0686,255,255,255
20500,0,6.9543,30.5035,255,255,255
20750,0,7.1278,30.9307,255,255,255
21000,0,7.298,31.3496,255,255,255
21250,0,7.4648,31.76,255,255,255
21500,0,7.6278,32.1613,255,255,255
21750,0,7.787,32.5532,255,255,255
22000,0,7.9422,32.9351,255,255,255
22250,0,8.0932,33.3067,255,255,255
22500,0,8.2398,33.6676,255,255,255
22750,0,8.3818,34.0172,255,255,255
23000,0,8.5191,34.3551,255,255,255
23250,0,8.6515,34.681,255,255,255
23500,0,8.7788,34.9944,255,255,255
23750,0,8.9009,35.2948,255,255,255
24000,0,9.0175,35.5819,255,255,255
24250,0,9.1285,35.8551,255,255,255
24500,0,9.2337,36.114,255,255,255
24750,0,9.333,36.3583,255,255,255
25000,0,9.4261,36.5875,255,255,255
25250,0,9.5129,36.8011,255,255,255
25500,0,9.5932,36.9987,255,255,255
25750,0,9.6668,37.1799,255,255,255
26000,0,9.7335,37.3442,255,255,255
26250,0,9.7933,37.4912,255,255,255
26500,0,9.8458,37.6205,255,255,255
26750,0,9.891,37.7317,255,255,255
27000,0,9.9286,37.8242,255,255,255
27250,0,9.9584,37.8977,255,255,255
27500,0,9.9804,37.9518,255,255,255
27750,0,9.9943,37.9859,255,255,255
28000,0,9.9999,37.9997,255,255,255
28250,0,10,38,255,255,255
28500,0,10,38,255,255,255
28750,0,10,38,255,255,255
29000,0,10,38,255,255,255
29250,0,10,38,255,255,255
29500,0,10,38,255,255,255
29750,0,10,38,255,255,255
30000,0,10,38,255,255,255
30250,0,10,38,255,255,255
30500,0,10,38,255,255,255
30750,0,10,38,255,255,255
31000,0,10,38,255,255,255
31250,0,10,38,255,255,255
31500,0,10,38,255,255,255
31750,0,10,38,255,255,255
32000,0,10,38,255,255,255
32250,0,10,38,255,255,255
32500,0,10,38,255,255,255
32750,0,10,38,255,255,255
33000,0,10,38,255,255,255
33250,0,10,38,255,255,255
33500,0.0626,10,37.9873,255,255,255
33750,0.2897,10,37.9415,255,255,255
34000,0.6588,10,37.8669,255,255,255
34250,1.1449,10,37.7687,255,255,255
34500,1.7229,10,37.6519,255,255,255
34750,2.3678,10,37.5216,255,255,255
35000,3.0544,10,37.3829,255,255,255
35250,3.7578,10,37.2408,255,255,255
35500,4.4529,10,37.1003,255,255,255
35750,5.1146,10,36.9666,255,255,255
36000,5.7179,10,36.8447,255,255,255
36250,6.2377,10,36.7397,255,255,255
36500,6.6489,10,36.6566,255,255,255
36750,6.9265,10,36.6006,255,255,255
37000,7.0454,10,36.5765,255,255,255
37250,7.048,10,36.576,255,255,255
37500,7.048,10,36.576,255,255,255
37750,7.048,10,36.576,255,255,255
38000,7.048,10,36.576,255,255,255
38250,7.048,10,36.576,255,255,255
38500,7.048,10,36.576,255,255,255
38750,7.048,10,36.576,255,255,255
39000,7.048,10,36.576,255,255,255
39250,7.048,10,36.576,255,255,255
39500,7.048,10,36.576,255,255,255
39750,7.048,10,36.576,255,255,255
40000,7.048,10,36.576,255,255,255
40250,7.048,10,36.576,255,255,255
40500,7.048,10,36.576,255,255,255
40750,7.048,10,36.576,255,255,255
41000,7.048,10,36.576,255,255,255
41250,7.048,10,36.576,255,255,255
41500,7.048,10,36.576,255,255,255
41750,7.048,10,36.576,255,255,255
42000,7.048,10,36.576,255,255,255
42250,7.048,10,36.576,255,255,255
42500,7.048,10,36.576,255,255,255
42750,7.048,10,36.576,255,255,255
43000,7.048,10,36.576,255,255,255
43250,7.048,10,36.576,255,255,255
43500,7.048,10,36.576,255,255,255
43750,7.0436,10,36.581,255,255,255
44000,7.0269,10,36.6,255,255,255
44250,6.9981,10,36.6328,255,255,255
44500,6.9576,10,36.6789,255,255,255
44750,6.9057,10,36.738,255,255,255
45000,6.8427,10,36.8097,255,255,255
45250,6.7691,10,36.8934,255,255,255
45500,6.6851,10,36.9889,255,255,255
45750,6.5913,10,37.0957,255,255,255
46000,6.4878,10,37.2133,255,255,255
46250,6.3751,10,37.3415,255,255,255
46500,6.2535,10,37.4796,255,255,255
46750,6.1235,10,37.6274,255,255,255
47000,5.9853,10,37.7845,255,255,255
47250,5.8393,10,37.9503,255,255,255
47500,5.6864,10,38.1239,255,255,255
47750,5.5283,10,38.3035,255,255,255
48000,5.3657,10,38.4884,255,255,255
48250,5.1992,10,38.6777,255,255,255
48500,5.0295,10,38.8706,255,255,255
48750,4.8574,10,39.0663,255,255,255
49000,4.6834,10,39.2642,255,255,255
49250,4.5084,10,39.4633,255,255,255
49500,4.3329,10,39.6629,255,255,255
49750,4.1578,10,39.8622,255,255,255
50000,3.9836,10,40.0605,255,255,255
50250,3.811,10,40.2569,255,255,255
50500,3.6408,10,40.4506,255,255,255
50750,3.4736,10,40.6409,255,255,255
51000,3.3101,10,40.827,255,255,255
51250,3.1511,10,41.0081,255,255,255
51500,2.9972,10,41.1834,255,255,255
51750,2.849,10,41.3521,255,255,255
52000,2.7073,10,41.5134,255,255,255
52250,2.5728,10,41.6666,255,255,255
52500,2.4461,10,41.8108,255,255,255
52750,2.328,10,41.9454,255,255,255
53000,2.2192,10,42.0694,255,255,255
53250,2.1202,10,42.1821,255,255,255
53500,2.0319,10,42.2827,255,255,255
53750,1.9548,10,42.3705,255,255,255
54000,1.8898,10,42.4446,255,255,255
54250,1.8374,10,42.5043,255,255,255
54500,1.7984,10,42.5487,255,255,255
54750,1.7734,10,42.5771,255,255,255
55000,1.7632,10,42.5888,255,255,255
55250,1.763,10,42.589,255,255,255
55500,1.763,10,42.589,255,255,255
55750,1.763,10,42.589,255,255,255
56000,1.763,10,42.589,255,255,255
56250,1.763,10,42.589,255,255,255
56500,1.763,10,42.589,255,255,255
56750,1.763,10,42.589,255,255,255
57000,1.763,10,42.589,255,255,255
57250,1.763,10,42.589,255,255,255
57500,1.763,10,42.589,255,255,255
57750,1.763,10,42.589,255,255,255
58000,1.763,10,42.589,255,255,255
58250,1.763,10,42.589,255,255,255
58500,1.763,10,42.589,255,255,255
58750,1.763,10,42.589,255,255,255
59000,1.763,10,42.589,255,255,255
59250,1.763,10,42.589,255,255,255
59500,1.763,10,42.589,255,255,255
59750,1.763,10,42.589,255,255,255
60000,1.763,10,42.589,255,255,255
