Name,IsRandom, NumberFrame, Infor
0,False, 1,(-48.2;100.8;12.6); (1;0.03301889;0.03301889;1)
1,False, 1,(-42.73;100.8;12.6); (1;0.03301889;0.03301889;1)
2,False, 1,(-37.62;100.8;12.6); (1;0.03301889;0.03301889;1)
3,False, 1,(-32.15;100.8;12.6); (1;0.03301889;0.03301889;1)
4,False, 1,(-27.15;100.8;12.6); (1;0.03301889;0.03301889;1)
5,False, 1,(-21.78;100.8;12.6); (1;0.03301889;0.03301889;1)
6,False, 1,(-16.57;100.8;12.6); (1;0.03301889;0.03301889;1)
7,False, 1,(-11.36;100.8;12.6); (1;0.03301889;0.03301889;1)
8,False, 1,(-6.1;100.8;12.6); (1;0.03301889;0.03301889;1)
9,False, 1,(-1.04;100.8;12.6); (1;0.03301889;0.03301889;1)
10,False, 1,(4.12;100.8;12.6); (1;0.03301889;0.03301889;1)
11,False, 1,(9.54;100.8;12.6); (1;0.03301889;0.03301889;1)
12,False, 1,(14.75;100.8;12.6); (1;0.03301889;0.03301889;1)
13,False, 1,(20.06;100.8;12.6); (1;0.03301889;0.03301889;1)
14,False, 1,(25.22;100.8;12.6); (1;0.03301889;0.03301889;1)
15,False, 1,(30.69;100.8;12.6); (1;0.03301889;0.03301889;1)
16,False, 1,(30.69;95.91;12.6); (1;0.03301889;0.03301889;1)
17,False, 1,(30.69;90.72;12.6); (1;0.03301889;0.03301889;1)
18,False, 1,(30.69;85.64;12.6); (1;0.03301889;0.03301889;1)
19,False, 1,(30.69;80.45;12.6); (1;0.03301889;0.03301889;1)
20,False, 1,(30.69;75.42001;12.6); (1;0.03301889;0.03301889;1)
21,False, 1,(30.69;70.13;12.6); (1;0.03301889;0.03301889;1)
22,False, 1,(30.69;64.94;12.6); (1;0.03301889;0.03301889;1)
23,False, 1,(30.69;59.81001;12.6); (1;0.03301889;0.03301889;1)
24,False, 1,(30.69;54.46;12.6); (1;0.03301889;0.03301889;1)
25,False, 1,(30.69;49.27;12.6); (1;0.03301889;0.03301889;1)
26,False, 1,(30.69;44.19;12.6); (1;0.03301889;0.03301889;1)
27,False, 1,(25.29;44.19;12.6); (1;0.03301889;0.03301889;1)
28,False, 1,(20.05;44.19;12.6); (1;0.03301889;0.03301889;1)
29,False, 1,(14.7;44.19;12.6); (1;0.03301889;0.03301889;1)
30,False, 1,(9.410001;44.24001;12.6); (1;0.03301889;0.03301889;1)
31,False, 1,(4.17;44.24001;12.6); (1;0.03301889;0.03301889;1)
32,False, 1,(-0.8599997;44.24001;12.6); (1;0.03301889;0.03301889;1)
33,False, 1,(-6.1;44.24001;12.6); (1;0.03301889;0.03301889;1)
34,False, 1,(-11.29;44.24001;12.6); (1;0.03301889;0.03301889;1)
35,False, 1,(-16.69;44.24001;12.6); (1;0.03301889;0.03301889;1)
36,False, 1,(-21.72;44.24001;12.6); (1;0.03301889;0.03301889;1)
37,False, 1,(-27.01;44.24001;12.6); (1;0.03301889;0.03301889;1)
38,False, 1,(-32.3;44.24001;12.6); (1;0.03301889;0.03301889;1)
39,False, 1,(-37.59;44.24001;12.6); (1;0.03301889;0.03301889;1)
40,False, 1,(-42.88;44.24001;12.6); (1;0.03301889;0.03301889;1)
41,False, 1,(-48.23;44.24001;12.6); (1;0.03301889;0.03301889;1)
42,False, 1,(-48.23;49.34;12.6); (1;0.03301889;0.03301889;1)
43,False, 1,(-48.23;54.59;12.6); (1;0.03301889;0.03301889;1)
44,False, 1,(-48.23;59.84;12.6); (1;0.03301889;0.03301889;1)
45,False, 1,(-48.23;65.01;12.6); (1;0.03301889;0.03301889;1)
46,False, 1,(-48.23;70.18;12.6); (1;0.03301889;0.03301889;1)
47,False, 1,(-48.23;75.28001;12.6); (1;0.03301889;0.03301889;1)
48,False, 1,(-48.23;80.53;12.6); (1;0.03301889;0.03301889;1)
49,False, 1,(-48.23;85.63;12.6); (1;0.03301889;0.03301889;1)
50,False, 1,(-48.23;90.8;12.6); (1;0.03301889;0.03301889;1)
51,False, 1,(-48.23;95.82001;12.6); (1;0.03301889;0.03301889;1)
52,False, 1,(-8.7;95.9;12.6); (1;0.9457318;0.03137255;1)
53,False, 1,(-10.54;91.24001;12.6); (1;0.9457318;0.03137255;1)
54,False, 1,(-6.92;91.24001;12.6); (1;0.9457318;0.03137255;1)
55,False, 1,(-11.71;86.39;12.6); (1;0.9457318;0.03137255;1)
56,False, 1,(-5.76;86.39;12.6); (1;0.9457318;0.03137255;1)
57,False, 1,(-13;82.22;12.6); (1;0.9457318;0.03137255;1)
58,False, 1,(-4.78;82.22;12.6); (1;0.9457318;0.03137255;1)
59,False, 1,(-28.64;80.7;12.6); (1;0.9457318;0.03137255;1)
60,False, 1,(-23.47;80.7;12.6); (1;0.9457318;0.03137255;1)
61,False, 1,(-18.54;80.58;12.6); (1;0.9457318;0.03137255;1)
62,False, 1,(1.12;80.58;12.6); (1;0.9457318;0.03137255;1)
63,False, 1,(5.99;80.58;12.6); (1;0.9457318;0.03137255;1)
64,False, 1,(11.22;80.58;12.6); (1;0.9457318;0.03137255;1)
65,False, 1,(-24.75;77.48;12.6); (1;0.9457318;0.03137255;1)
66,False, 1,(-20.55;74.62;12.6); (1;0.9457318;0.03137255;1)
67,False, 1,(7.330001;77.54;12.6); (1;0.9457318;0.03137255;1)
68,False, 1,(3.070001;74.8;12.6); (1;0.9457318;0.03137255;1)
69,False, 1,(-17.02;71.51;12.6); (1;0.9457318;0.03137255;1)
70,False, 1,(-0.3999996;71.51;12.6); (1;0.9457318;0.03137255;1)
71,False, 1,(-18.54;66.94;12.6); (1;0.9457318;0.03137255;1)
72,False, 1,(0.9400005;66.94;12.6); (1;0.9457318;0.03137255;1)
73,False, 1,(-8.8;65.84;12.6); (1;0.9457318;0.03137255;1)
74,False, 1,(-19.76;62.31001;12.6); (1;0.9457318;0.03137255;1)
75,False, 1,(-13.31;63.04;12.6); (1;0.9457318;0.03137255;1)
76,False, 1,(-4.42;63.04;12.6); (1;0.9457318;0.03137255;1)
77,False, 1,(2.28;62.37;12.6); (1;0.9457318;0.03137255;1)
78,False, 1,(-21.28;57.32;12.6); (1;0.9457318;0.03137255;1)
79,False, 1,(-17.26;59.94;12.6); (1;0.9457318;0.03137255;1)
80,False, 1,(-0.2200003;59.82;12.6); (1;0.9457318;0.03137255;1)
81,False, 1,(3.8;57.32;12.6); (1;0.9457318;0.03137255;1)
82,False, 1,(-14.2;76.10001;12.6); (1;0.9457318;0.03137255;1)
83,False, 1,(-3.9;76.10001;12.6); (1;0.9457318;0.03137255;1)
84,False, 1,(-8.7;70.60001;12.6); (1;0.9457318;0.03137255;1)
