Name,IsRandom, NumberFrame, Infor
0,TRUE,1,(1.400002;14.9;12.6); (0;0;0;0)
1,TRUE,1,(1.400002;14.9;15.6); (0;0;0;0)
2,TRUE,1,(1.400002;14.9;18.6); (0;0;0;0)
3,TRUE,1,(1.400002;14.9;21.6); (0;0;0;0)
4,TRUE,1,(1.400002;14.9;24.6); (0;0;0;0)
5,TRUE,1,(1.400002;14.9;27.6); (0;0;0;0)
6,TRUE,1,(1.400002;14.9;30.6); (0;0;0;0)
7,TRUE,1,(1.400002;14.9;33.6); (0;0;0;0)
8,TRUE,1,(1.400002;14.9;36.6); (0;0;0;0)
9,TRUE,1,(1.400002;14.9;39.6); (0;0;0;0)
10,TRUE,1,(-1.599998;14.9;33.6); (0;0;0;0)
11,TRUE,1,(-1.599998;14.9;12.6); (0;0;0;0)
12,TRUE,1,(-1.599998;14.9;15.6); (0;0;0;0)
13,TRUE,1,(-1.599998;14.9;18.6); (0;0;0;0)
14,TRUE,1,(-1.599998;14.9;21.6); (0;0;0;0)
15,TRUE,1,(-1.599998;14.9;24.6); (0;0;0;0)
16,TRUE,1,(-1.599998;14.9;27.6); (0;0;0;0)
17,TRUE,1,(-1.599998;14.9;30.6); (0;0;0;0)
18,TRUE,1,(-1.599998;14.9;36.6); (0;0;0;0)
19,TRUE,1,(-1.599998;14.9;39.6); (0;0;0;0)
20,TRUE,1,(-4.599998;14.9;12.6); (0;0;0;0)
21,TRUE,1,(-4.599998;14.9;15.6); (0;0;0;0)
22,TRUE,1,(-4.599998;14.9;18.6); (0;0;0;0)
23,TRUE,1,(-4.599998;14.9;21.6); (0;0;0;0)
24,TRUE,1,(-4.599998;14.9;24.6); (0;0;0;0)
25,TRUE,1,(-4.599998;14.9;27.6); (0;0;0;0)
26,TRUE,1,(-4.599998;14.9;30.6); (0;0;0;0)
27,TRUE,1,(-4.599998;14.9;33.6); (0;0;0;0)
28,TRUE,1,(-4.599998;14.9;36.6); (0;0;0;0)
29,TRUE,1,(-4.599998;14.9;39.6); (0;0;0;0)
30,TRUE,1,(-7.599998;14.9;12.6); (0;0;0;0)
