Name,IsRandom, NumberFrame, Infor
0,False, 1,(-37.05;79.84;12.6); (0.9137256;0.8941177;0.3882353;1)
1,False, 1,(-37.08;75.82999;12.6); (0.9137256;0.8941177;0.3882353;1)
2,False, 1,(-37.12;72.00999;12.6); (0.9137256;0.8941177;0.3882353;1)
3,False, 1,(-37.09;67.94;12.6); (0.9137256;0.8941177;0.3882353;1)
4,False, 1,(-33.78;64.16;12.6); (0.9137256;0.8941177;0.3882353;1)
5,False, 1,(-28.39;64.25;12.6); (0.9137256;0.8941177;0.3882353;1)
6,False, 1,(-24.88;68.07;12.6); (0.9137256;0.8941177;0.3882353;1)
7,False, 1,(-24.79;71.93;12.6); (0.9137256;0.8941177;0.3882353;1)
8,False, 1,(-24.91;75.84;12.6); (0.9137256;0.8941177;0.3882353;1)
9,False, 1,(-24.82;79.85;12.6); (0.9137256;0.8941177;0.3882353;1)
10,False, 1,(-16.27;79.84;12.6); (0.9137256;0.8941177;0.3882353;1)
11,False, 1,(-16.18;75.81;12.6); (0.9137256;0.8941177;0.3882353;1)
12,False, 1,(-16.27;71.94;12.6); (0.9137256;0.8941177;0.3882353;1)
13,False, 1,(-16.22;68.05;12.6); (0.9137256;0.8941177;0.3882353;1)
14,False, 1,(-16.32;64.1;12.6); (0.9137256;0.8941177;0.3882353;1)
15,False, 1,(-11.53;79.84;12.6); (0.9137256;0.8941177;0.3882353;1)
16,False, 1,(-11.44;71.94;12.6); (0.9137256;0.8941177;0.3882353;1)
17,False, 1,(-11.49;64.04;12.6); (0.9137256;0.8941177;0.3882353;1)
18,False, 1,(-6.609999;79.93;12.6); (0.9137256;0.8941177;0.3882353;1)
19,False, 1,(-6.649998;64.07;12.6); (0.9137256;0.8941177;0.3882353;1)
20,False, 1,(0.3300018;79.93;12.6); (0.9137256;0.8941177;0.3882353;1)
21,False, 1,(4.640003;79.93;12.6); (0.9137256;0.8941177;0.3882353;1)
22,False, 1,(8.670002;79.93;12.6); (0.9137256;0.8941177;0.3882353;1)
23,False, 1,(12.72001;79.93;12.6); (0.9137256;0.8941177;0.3882353;1)
24,False, 1,(6.550003;75.99;12.6); (0.9137256;0.8941177;0.3882353;1)
25,False, 1,(6.660004;71.87;12.6); (0.9137256;0.8941177;0.3882353;1)
26,False, 1,(6.750004;67.94;12.6); (0.9137256;0.8941177;0.3882353;1)
27,False, 1,(6.630005;64.2;12.6); (0.9137256;0.8941177;0.3882353;1)
28,False, 1,(-59.9;57.32;12.6); (0.2122642;0.3598944;1;1)
29,False, 1,(-56.09;57.21;12.6); (0.2122642;0.3598944;1;1)
30,False, 1,(-63.25;53.6;12.6); (0.2122642;0.3598944;1;1)
31,False, 1,(-63.34;49.73;12.6); (0.2122642;0.3598944;1;1)
32,False, 1,(-63.34;45.89;12.6); (0.2122642;0.3598944;1;1)
33,False, 1,(-59.9;41.93;12.6); (0.2122642;0.3598944;1;1)
