Name,IsRandom, NumberFrame, Infor
0,False, 1,(-31.10194;85.81844;0); (0.2226317;1;0;1)
1,False, 1,(-29.14194;81.09843;0); (0.2226317;1;0;1)
2,False, 1,(-26.76194;76.24844;0); (0.2226317;1;0;1)
3,False, 1,(-23.37194;70.66843;0); (0.2226317;1;0;1)
4,False, 1,(-20.53194;76.32844;0); (0.2226317;1;0;1)
5,False, 1,(-18.75194;81.37843;0); (0.2226317;1;0;1)
6,False, 1,(-16.42194;86.02843;0); (0.2226317;1;0;1)
7,False, 1,(-9.101935;85.92844;0); (0.2226317;1;0;1)
8,False, 1,(-9.151936;80.88844;0); (0.2226317;1;0;1)
9,False, 1,(-9.101935;74.56844;0); (0.2226317;1;0;1)
10,False, 1,(-6.251935;70.62843;0); (0.2226317;1;0;1)
11,False, 1,(-1.891935;70.52843;0); (0.2226317;1;0;1)
12,False, 1,(1.068065;74.46844;0); (0.2226317;1;0;1)
13,False, 1,(0.9680643;81.03844;0); (0.2226317;1;0;1)
14,False, 1,(0.9680643;85.98843;0); (0.2226317;1;0;1)
15,False, 1,(-51.90194;63.79844;0); (0.2226317;1;0;1)
16,False, 1,(-47.44194;63.79844;0); (0.2226317;1;0;1)
17,False, 1,(-42.98193;63.79844;0); (0.2226317;1;0;1)
18,False, 1,(-47.51194;59.11844;0); (0.2226317;1;0;1)
19,False, 1,(-47.51194;53.37844;0); (0.2226317;1;0;1)
20,False, 1,(-47.51194;48.41843;0); (0.2226317;1;0;1)
21,False, 1,(-35.92194;63.79844;0); (0.2226317;1;0;1)
22,False, 1,(-35.92194;59.85844;0); (0.2226317;1;0;1)
23,False, 1,(-35.92194;55.99844;0); (0.2226317;1;0;1)
24,False, 1,(-35.92194;52.28844;0); (0.2226317;1;0;1)
25,False, 1,(-35.92194;48.34843;0); (0.2226317;1;0;1)
26,False, 1,(-31.54193;63.64844;0); (0.2226317;1;0;1)
27,False, 1,(-31.54193;55.99844;0); (0.2226317;1;0;1)
28,False, 1,(-27.29193;62.10844;0); (0.2226317;1;0;1)
29,False, 1,(-27.83194;58.48843;0); (0.2226317;1;0;1)
30,False, 1,(-28.72194;52.20844;0); (0.2226317;1;0;1)
31,False, 1,(-26.71194;48.34843;0); (0.2226317;1;0;1)
32,False, 1,(-19.50194;63.50844;0); (0.2226317;1;0;1)
33,False, 1,(-19.50194;57.60844;0); (0.2226317;1;0;1)
34,False, 1,(-19.50194;52.14844;0); (0.2226317;1;0;1)
35,False, 1,(-17.05194;48.35844;0); (0.2226317;1;0;1)
36,False, 1,(-11.48194;48.35844;0); (0.2226317;1;0;1)
37,False, 1,(-8.951936;52.29844;0); (0.2226317;1;0;1)
38,False, 1,(-8.951936;57.59843;0); (0.2226317;1;0;1)
39,False, 1,(-8.951936;63.50844;0); (0.2226317;1;0;1)
40,False, 1,(-2.261935;63.50844;0); (0.2226317;1;0;1)
