Name,IsRandom, NumberFrame, Infor
0,True, 1,(29.47;69.32;-15); (1;0.7975486;0;0)
1,True, 1,(-15.31;17.33;-15); (1;0.7975486;0;0)
2,True, 1,(25.89;71.22;-15); (1;0.7975486;0;0)
3,True, 1,(22.75;73.51;-15); (1;0.7975486;0;0)
4,True, 1,(21;76.14;-15); (1;0.7975486;0;0)
5,True, 1,(19.08;78.71;-15); (1;0.7975486;0;0)
6,True, 1,(16.45;80.85;-15); (1;0.7975486;0;0)
7,True, 1,(-7.299999;24.46;-15); (1;0.7975486;0;0)
8,True, 1,(12.87;82.61;-15); (1;0.7975486;0;0)
9,True, 1,(8.170002;82.67;-15); (1;0.7975486;0;0)
10,True, 1,(4.860001;81.83;-15); (1;0.7975486;0;0)
11,True, 1,(1.970001;80.34;-15); (1;0.7975486;0;0)
12,True, 1,(-0.5999985;78.03;-15); (1;0.7975486;0;0)
13,True, 1,(-2.419998;75.27;-15); (1;0.7975486;0;0)
14,True, 1,(-3.719997;72.48;-15); (1;0.7975486;0;0)
15,True, 1,(-5.149998;68.93;-15); (1;0.7975486;0;0)
16,True, 1,(-11.1;62.38;-15); (1;0.7975486;0;0)
17,True, 1,(-7.069998;65.97;-15); (1;0.7975486;0;0)
18,True, 1,(-7.089998;55.01;-15); (1;0.7975486;0;0)
19,True, 1,(-10.75;57.51;-15); (1;0.7975486;0;0)
20,True, 1,(-15.27;59.25;-15); (1;0.7975486;0;0)
21,True, 1,(-19.85;61.17;-15); (1;0.7975486;0;0)
22,True, 1,(-24.35;62.95;-15); (1;0.7975486;0;0)
23,True, 1,(-28.2;64.12;-15); (1;0.7975486;0;0)
24,True, 1,(-31.29;66.05;-15); (1;0.7975486;0;0)
25,True, 1,(-34.43;67.54;-15); (1;0.7975486;0;0)
26,True, 1,(-37.04;69.73;-15); (1;0.7975486;0;0)
27,True, 1,(-45.64;22.81;-15); (1;0.7975486;0;0)
28,True, 1,(-40.03;71.72;-15); (1;0.7975486;0;0)
29,True, 1,(-46.33;77.06;-15); (1;0.7975486;0;0)
30,True, 1,(-46.92;72.38;-15); (1;0.7975486;0;0)
31,True, 1,(-43.68;19.01;-15); (1;0.7975486;0;0)
32,True, 1,(14.81;71.53;-15); (1;0.7975486;0;0)
33,True, 1,(-16.91;21.18;-15); (1;0.7975486;0;0)
34,True, 1,(-45.65;68.8;-15); (1;0.7975486;0;0)
35,True, 1,(-44.12;65.38;-15); (1;0.7975486;0;0)
36,True, 1,(-42.58;62.03;-15); (1;0.7975486;0;0)
37,True, 1,(-40.18;59.41;-15); (1;0.7975486;0;0)
38,True, 1,(-42.91;74.38;-15); (1;0.7975486;0;0)
39,True, 1,(-38.4;56.81;-15); (1;0.7975486;0;0)
40,True, 1,(-36.04;54.25;-15); (1;0.7975486;0;0)
41,True, 1,(-27.32;46.41;-15); (1;0.7975486;0;0)
42,True, 1,(-33.64;51.97;-15); (1;0.7975486;0;0)
43,True, 1,(-31.12;49.32;-15); (1;0.7975486;0;0)
44,True, 1,(-28.78;42.38;-15); (1;0.7975486;0;0)
45,True, 1,(-19.7;29.04;-15); (1;0.7975486;0;0)
46,True, 1,(-31.08;39.35;-15); (1;0.7975486;0;0)
47,True, 1,(-1.509998;14.4;-15); (1;0.7975486;0;0)
48,True, 1,(-33.47;37.02;-15); (1;0.7975486;0;0)
49,True, 1,(-36.14;33.96;-15); (1;0.7975486;0;0)
50,True, 1,(-38.26;31.49;-15); (1;0.7975486;0;0)
51,True, 1,(-40.62;28.5;-15); (1;0.7975486;0;0)
52,True, 1,(-43;26.09;-15); (1;0.7975486;0;0)
53,True, 1,(-5.419998;20.79;-15); (1;0.7975486;0;0)
54,True, 1,(-3.259998;17.59;-15); (1;0.7975486;0;0)
55,True, 1,(-13.47;13.72;-15); (1;0.7975486;0;0)
56,True, 1,(-40.71;20.89;-15); (1;0.7975486;0;0)
57,True, 1,(-38.26;22.94;-15); (1;0.7975486;0;0)
58,True, 1,(-35.88;24.86;-15); (1;0.7975486;0;0)
59,True, 1,(-33.2;26.88;-15); (1;0.7975486;0;0)
60,True, 1,(-30.5;28.2;-15); (1;0.7975486;0;0)
61,True, 1,(-27.56;28.48;-15); (1;0.7975486;0;0)
62,True, 1,(-24.82;28.37;-15); (1;0.7975486;0;0)
63,True, 1,(-16.89;27.16;-15); (1;0.7975486;0;0)
64,True, 1,(-18.66;24.95;-15); (1;0.7975486;0;0)
65,True, 1,(-12.61;27.22;-15); (1;0.7975486;0;0)
66,True, 1,(-9.359999;27.37;-15); (1;0.7975486;0;0)
67,True, 1,(-5.779999;27.99;-15); (1;0.7975486;0;0)
68,True, 1,(-2.539997;28.47;-15); (1;0.7975486;0;0)
69,True, 1,(1.080002;29.33;-15); (1;0.7975486;0;0)
70,True, 1,(3.710003;30.97;-15); (1;0.7975486;0;0)
71,True, 1,(6.52;32.52;-15); (1;0.7975486;0;0)
72,True, 1,(9.09;34.5;-15); (1;0.7975486;0;0)
73,True, 1,(11.61;37.02;-15); (1;0.7975486;0;0)
74,True, 1,(13.38;39.75;-15); (1;0.7975486;0;0)
75,True, 1,(15.36;42.51;-15); (1;0.7975486;0;0)
76,True, 1,(16.57;45.83;-15); (1;0.7975486;0;0)
77,True, 1,(17.16;49.15;-15); (1;0.7975486;0;0)
78,True, 1,(17.64;52.47;-15); (1;0.7975486;0;0)
79,True, 1,(17.93;55.82;-15); (1;0.7975486;0;0)
80,True, 1,(17.61;59.09;-15); (1;0.7975486;0;0)
81,True, 1,(18.6;61.82;-15); (1;0.7975486;0;0)
82,True, 1,(20.37;64.77;-15); (1;0.7975486;0;0)
83,True, 1,(22.76;66.78;-15); (1;0.7975486;0;0)
84,True, 1,(25.9;67.91;-15); (1;0.7975486;0;0)
